profit_center,nama_outlet,posting_date,account_no,gl_acct_long_text,text,doc_id,doc_type,debit,kredit
BX14,KF 0416,3/15/2025,1107010301,Persediaan Barang Jadi,,640025070,QS,0,-53615
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027025,QS,0,-75491
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027030,QS,0,-53376
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027032,QS,0,-23377
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027034,QS,0,-73678
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027036,QS,0,-300456
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027039,QS,0,-234765
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027040,QS,0,-122030
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027041,QS,0,-40857
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027042,QS,0,-141696
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027047,QS,0,-336645
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027048,QS,0,-180320
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027050,QS,0,-141840
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027062,QS,0,-63658
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027063,QS,0,-772485
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027066,QS,0,-389500
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027071,QS,0,-49704
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027079,QS,0,-203698
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027087,QS,0,-245915
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027092,QS,0,-63658
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027097,QS,0,-220710
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027100,QS,0,-336645
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027103,QS,0,-234876
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027108,QS,0,-98229
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027110,QS,0,-36569
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027115,QS,0,-92214
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027133,QS,0,-110355
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027143,QS,0,-148400
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027160,QS,0,-53376
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027163,QS,0,-32743
BX33,KF Titibumi,3/16/2025,1107010301,Persediaan Barang Jadi,,640027164,QS,0,-55259
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027174,QS,0,-68404
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027175,QS,0,-13639
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027176,QS,0,-17101
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027179,QS,0,-213200
